time,open,high,low,close,Plot,Plot.1,Plot.2,Plot.3,Volume,RelVolStDev,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot.4,CVO Histogram,CVO Line,Signal Line,Upper Dev,Lower Dev
1972-12-15 09:30:00-05:00,0.45834,0.45834,0.45834,0.45834,,,,,831568,0.0,0,0,-831568,-831568,-831568.0,,,,,
1972-12-18 09:30:00-05:00,0.449081,0.449081,0.449081,0.449081,,,,,72872,0.0,-831568,-831568,-904440,-904440,-868004.0,,,,,
1972-12-19 09:30:00-05:00,0.449081,0.449081,0.449081,0.449081,,,,,121472,0.0,-904440,-904440,-1025912,-1025912,-920640.0,,,,,
1972-12-20 09:30:00-05:00,0.449081,0.449081,0.449081,0.449081,,,,,504872,0.0,-1025912,-1025912,-1530784,-1530784,-1073176.0,,,,,
1972-12-21 09:30:00-05:00,0.444451,0.444451,0.444451,0.444451,,,,,961168,0.0,-1530784,-1530784,-2491952,-2491952,-1356931.2,,,,,
1972-12-22 09:30:00-05:00,0.444451,0.444451,0.444451,0.444451,,,,,32372,0.0,-2491952,-2491952,-2524324,-2524324,-1551496.6666666667,,,,,
1972-12-26 09:30:00-05:00,0.435192,0.435192,0.435192,0.435192,,,,,107972,0.0,-2524324,-2524324,-2632296,-2632296,-1705896.5714285714,,,,,
1972-12-27 09:30:00-05:00,0.430562,0.430562,0.430562,0.430562,0.445029875,,,,542672,0.0,-2632296,-2632296,-3174968,-3174968,-1889530.5,,,,,
1972-12-29 09:30:00-05:00,0.430562,0.430562,0.430562,0.430562,0.4418147916666667,,,,113372,0.0,-3174968,-3174968,-3288340,-3288340,-2044953.7777777775,,,,,
1973-01-02 09:30:00-05:00,0.430562,0.430562,0.430562,0.430562,0.4393141712962963,,,,37772,0.0,-3288340,-3288340,-3326112,-3326112,-2173069.6,,,,,
1973-01-03 09:30:00-05:00,0.425932,0.425932,0.425932,0.425932,0.4363403554526749,,,,78272,0.0,-3326112,-3326112,-3404384,-3404384,-2285007.272727273,,,,,
1973-01-04 09:30:00-05:00,0.425932,0.425932,0.425932,0.425932,0.4340273875743027,,,,51272,0.0,-3404384,-3404384,-3455656,-3455656,-2382561.333333333,,,,,
